==7630== NVPROF is profiling process 7630, command: ./upsCu sample640x426.ppm 200 120 100 0 15 1
==7630== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7630== Profiling application: ./upsCu sample640x426.ppm 200 120 100 0 15 1
==7630== Profiling result:
==7630== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"tex0_cache_sector_queries",4473,4473,4473,4473
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"tex1_cache_sector_queries",4477,4477,4477,4477
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"tex0_cache_sector_misses",2840,2840,2840,2840
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"tex1_cache_sector_misses",2835,2835,2835,2835
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"l2_subp0_write_sector_misses",669,669,669,669
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"l2_subp1_write_sector_misses",692,692,692,692
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"l2_subp0_read_sector_misses",644,644,644,644
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"l2_subp1_read_sector_misses",644,644,644,644
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"l2_subp0_read_tex_sector_queries",978,978,978,978
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"l2_subp1_read_tex_sector_queries",947,947,947,947
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"l2_subp0_write_tex_sector_queries",464,464,464,464
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"l2_subp1_write_tex_sector_queries",474,474,474,474
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"l2_subp0_read_tex_hit_sectors",646,646,646,646
