==7685== NVPROF is profiling process 7685, command: ./upsCu sample640x426.ppm 200 120 100 0 15 1
==7685== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7685== Profiling application: ./upsCu sample640x426.ppm 200 120 100 0 15 1
==7685== Profiling result:
==7685== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA Tegra X1 (0)"
    Kernel: getCutout(char*, char*, int, int, int, int, int)
          1                 tex0_cache_sector_queries        4477        4477        4477        4477
          1                 tex1_cache_sector_queries        4473        4473        4473        4473
          1                  tex0_cache_sector_misses        2835        2835        2835        2835
          1                  tex1_cache_sector_misses        2840        2840        2840        2840
          1              l2_subp0_write_sector_misses          20          20          20          20
          1              l2_subp1_write_sector_misses           0           0           0           0
          1               l2_subp0_read_sector_misses         684         684         684         684
          1               l2_subp1_read_sector_misses         684         684         684         684
          1          l2_subp0_read_tex_sector_queries         978         978         978         978
          1          l2_subp1_read_tex_sector_queries         947         947         947         947
          1         l2_subp0_write_tex_sector_queries         464         464         464         464
          1         l2_subp1_write_tex_sector_queries         474         474         474         474
          1             l2_subp0_read_tex_hit_sectors         641         641         641         641
          1             l2_subp1_read_tex_hit_sectors         614         614         614         614
          1            l2_subp0_write_tex_hit_sectors         464         464         464         464
          1            l2_subp1_write_tex_hit_sectors         474         474         474         474
          1        l2_subp0_total_read_sector_queries        1094        1094        1094        1094
          1        l2_subp1_total_read_sector_queries        1014        1014        1014        1014
          1       l2_subp0_total_write_sector_queries         484         484         484         484
          1       l2_subp1_total_write_sector_queries         475         475         475         475
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm       25829       25829       25829       25829
          1                             gld_inst_8bit       30000       30000       30000       30000
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit       30000       30000       30000       30000
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched         960         960         960         960
          1                              inst_issued0       26794       26794       26794       26794
          1                              inst_issued1       65116       65116       65116       65116
          1                              inst_issued2        3882        3882        3882        3882
          1                             inst_executed       72688       72688       72688       72688
          1                      thread_inst_executed     2325120     2325120     2325120     2325120
          1   not_predicated_off_thread_inst_executed     2145318     2145318     2145318     2145318
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load         938         938         938         938
          1                              global_store         938         938         938         938
          1                          divergent_branch           0           0           0           0
          1                                    branch        2858        2858        2858        2858
          1                             active_cycles       24290       24290       24290       24290
          1                              active_warps     1398016     1398016     1398016     1398016
